Episode ID,Podcast ID,Podcast Name,Episode Title,Published Date,Audio URL
4210,1,"The Joe Rogan Experience","#2356 - Mike Vecchione",2025-07-29T17:00:00.000Z,https://traffic.megaphone.fm/GLT8174488822.mp3?updated=1753808469
4211,52,"The Young Turks","Trump's Loose Lips - July 29, 2025",2025-07-30T02:29:00.000Z,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chrt.fm/track/3DAG65/traffic.megaphone.fm/TYK2860036665.mp3?updated=1753843046
4212,10,"The NPR Politics Podcast","States Fight Federal Effort To Collect Personal Data Of Food Stamp Users",2025-07-29T21:18:10.000Z,https://chrt.fm/track/138C95/prfx.byspotify.com/e/play.podtrac.com/npr-510310/traffic.megaphone.fm/NPR1885808712.mp3?d=762&size=12201527&e=1256371487&t=podcast&p=510310
4213,17,"The Journal.","How Volkswagen's Electric Bus Lost Its Charge",2025-07-29T20:00:00.000Z,https://pdst.fm/e/chtbl.com/track/1F1B1F/traffic.megaphone.fm/WSJ7574951738.mp3?updated=1753819788
4214,119,"Jacobin Radio","Confronting Capitalism: Why the Democrats Can’t Fight for Anything",2025-07-30T09:59:00.000Z,https://pinecast.com/listen/519aa75f-42a2-4ede-b59c-d96e4b385c26.mp3?source=rss&ext=asset.mp3
4215,120,"The Nation Podcasts","Dems Who Didn’t Vote In 2024—Plus, Mussolini and Trump | Start Making Sense",2025-07-30T08:00:05.000Z,https://audio4.redcircle.com/episodes/46723a3d-8842-4c94-8723-14cbcacc8a42/stream.mp3
4216,123,"The Megyn Kelly Show","NYC Shooting Victims Identified, DOJ vs. Boasberg, EPA to Kill Climate Rule: AM Update 7/30",2025-07-30T10:00:00.000Z,https://dts.podtrac.com/redirect.mp3/tracking.swap.fm/track/0bDcdoop59bdTYSfajQW/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/101/arttrk.com/p/24FDE/claritaspod.com/measure/sxm.simplecastaudio.com/853ccd10-364f-4b0b-831e-c2bed24d85e7/episodes/a3b91f4c-d524-4ee4-af50-e0636b7f7fb1/audio/128/default.mp3?aid=rss_feed&awCollectionId=853ccd10-364f-4b0b-831e-c2bed24d85e7&awEpisodeId=a3b91f4c-d524-4ee4-af50-e0636b7f7fb1&feed=RV1USAfC
4217,123,"The Megyn Kelly Show","Who Was NYC Shooter Target, and New Reporting on Russiagate Hoax Collusion, with Buck Sexton and Aaron Mate",2025-07-29T20:01:49.000Z,https://dts.podtrac.com/redirect.mp3/tracking.swap.fm/track/0bDcdoop59bdTYSfajQW/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/101/arttrk.com/p/24FDE/claritaspod.com/measure/sxm.simplecastaudio.com/853ccd10-364f-4b0b-831e-c2bed24d85e7/episodes/d0c467fd-9043-4211-b047-80da15e9747b/audio/128/default.mp3?aid=rss_feed&awCollectionId=853ccd10-364f-4b0b-831e-c2bed24d85e7&awEpisodeId=d0c467fd-9043-4211-b047-80da15e9747b&feed=RV1USAfC
4218,18,"WSJ Opinion: Potomac Watch","Trump's Tariff Deals With Japan and the EU, as His Aug. 1 Deadline Nears",2025-07-29T22:23:00.000Z,https://pdst.fm/e/chrt.fm/track/1F1B1F/traffic.megaphone.fm/WSJ6782079224.mp3?updated=1753828373
4219,3,"The Daily","Close Calls and Skipped Lines: The Fraught State of Organ Donation",2025-07-30T09:45:00.000Z,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/pfx.vpixl.com/6qj4J/nyt.simplecastaudio.com/03d8b493-87fc-4bd1-931f-8a8e9b945d8a/episodes/c21d2b6d-5397-40b4-b84a-fbb34e0b571a/audio/128/default.mp3?aid=rss_feed&awCollectionId=03d8b493-87fc-4bd1-931f-8a8e9b945d8a&awEpisodeId=c21d2b6d-5397-40b4-b84a-fbb34e0b571a&feed=54nAGcIl
4220,19,"The Charlie Kirk Show","Why Islam Isn't Compatible With the West ft. Ridvan Aydemir",2025-07-30T09:00:00.000Z,https://pdst.fm/e/claritaspod.com/measure/dts.podtrac.com/redirect.mp3/mgln.ai/e/205/pscrb.fm/rss/p/traffic.omny.fm/d/clips/5e27a451-e6e6-4c51-aa03-a7370003783c/c865b590-c84f-4f7e-a43e-ac64014b61d9/ec1c9585-f156-4765-a11c-b329017ad5e3/audio.mp3?utm_source=Podcast&in_playlist=8978e846-cacd-4d65-b085-ac64014cd49f
4221,19,"The Charlie Kirk Show","Trump's Trade Triumph ft. Sec. Howard Lutnick",2025-07-29T21:30:00.000Z,https://pdst.fm/e/claritaspod.com/measure/dts.podtrac.com/redirect.mp3/mgln.ai/e/205/pscrb.fm/rss/p/traffic.omny.fm/d/clips/5e27a451-e6e6-4c51-aa03-a7370003783c/c865b590-c84f-4f7e-a43e-ac64014b61d9/31f682e4-63bf-4cce-886f-b3290152ac38/audio.mp3?utm_source=Podcast&in_playlist=8978e846-cacd-4d65-b085-ac64014cd49f
4222,19,"The Charlie Kirk Show","Mangioneism + Mamdaniism vs MAGA",2025-07-29T20:15:23.000Z,https://pdst.fm/e/claritaspod.com/measure/dts.podtrac.com/redirect.mp3/mgln.ai/e/205/pscrb.fm/rss/p/traffic.omny.fm/d/clips/5e27a451-e6e6-4c51-aa03-a7370003783c/c865b590-c84f-4f7e-a43e-ac64014b61d9/dddfd2b1-7a12-4139-b1d6-b329014cf1b6/audio.mp3?utm_source=Podcast&in_playlist=8978e846-cacd-4d65-b085-ac64014cd49f
4223,21,"The Sean Hannity Show","SHOOTERS, RACISTS AND THE INVASION ",2025-07-30T04:14:13.000Z,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/00cf9588-814d-4d9e-bd23-b2b900fa428b/cdec40d1-d306-4854-a6c3-b32a0043c721/audio.mp3?utm_source=Podcast&in_playlist=554b2774-1072-4afc-88b3-ae300188d2e8
4224,21,"The Sean Hannity Show","Biden Border Madness - July 29th, Hour 1",2025-07-29T23:38:17.000Z,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/4a0aa31f-d7ec-4ee3-915f-ae300188d2da/22f1155f-f194-415d-9d99-b32901805ca3/audio.mp3?utm_source=Podcast&in_playlist=554b2774-1072-4afc-88b3-ae300188d2e8
4225,21,"The Sean Hannity Show","“On Power”: A Blueprint for Liberty vs. Tyranny - July 29th, Hour 2",2025-07-29T23:36:54.000Z,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/4a0aa31f-d7ec-4ee3-915f-ae300188d2da/88fd0a79-76b4-424f-aa54-b329017f9d97/audio.mp3?utm_source=Podcast&in_playlist=554b2774-1072-4afc-88b3-ae300188d2e8
4226,21,"The Sean Hannity Show"," Brennan’s Puppet - July 29th, Hour 3",2025-07-29T23:33:36.000Z,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/4a0aa31f-d7ec-4ee3-915f-ae300188d2da/cbbd388a-9f1f-4b86-a403-b329017f3fd9/audio.mp3?utm_source=Podcast&in_playlist=554b2774-1072-4afc-88b3-ae300188d2e8
4227,23,"The Alex Jones Show - Infowars.com","Alex Jones 2025-Jul-29 Tuesday",2025-07-29T20:18:31.000Z,https://api.spreaker.com/download/episode/67180657/20250729_tue_alex.mp3
4228,33,"The Bulwark Podcast","David French: Israel's Humanitarian Obligations",2025-07-29T18:48:24.000Z,https://pscrb.fm/rss/p/arttrk.com/p/ABMA5/prfx.byspotify.com/e/clrtpod.com/m/dts.podtrac.com/redirect.mp3/audioboom.com/posts/8756020.mp3?modified=1753815097&sid=5114286&source=rss
4229,35,"The Wright Report","30 JULY 2025: Tsunami Alert // Possible Surprise Interest Rate Cut // Major News on Cars and Climate // The Dem Plan To Block the Sun To Save the Earth",2025-07-30T07:00:00.000Z,https://prfx.byspotify.com/e/pscrb.fm/rss/p/claritaspod.com/measure/mgln.ai/e/35/traffic.libsyn.com/secure/99d58233-bde0-408e-8380-58043aa19ee8/30_JULY_-_TWR.mp3?dest-id=4043511
4230,40,"Verdict with Ted Cruz","Major Legislation to Protect the Flying Public, plus New Evidence FBI Complicit in Russia Hoax",2025-07-30T07:40:00.000Z,https://podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/arttrk.com/p/D5CA5/mgln.ai/e/28/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/2bee9419-43de-46ce-8996-af2a01167517/157a50ef-40e7-4de5-b8e9-b319004ca12a/audio.mp3?utm_source=Podcast&in_playlist=84cf551f-a33b-41d8-b112-af2a01167541
